,P1,,,,,P2,,,,,,,,,,,P3,,,,,,,,,P4,,,,,,,,,P5,,,,,,,,,,,,,P6,,,,
" 22/12/2015 4:46:51 PM",2.599686,255.1822,2,2,1,261.4394,8.868431,408.9464,2.473841,2,1,1,2,1,2,1,2.564185,0.0002562214,192.4587,1,1,1,1,1,1,0,172.5199,0,132.6583,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:46:52 PM",2.58079,255.4962,2,2,1,261.6637,8.868431,409.7411,2.473072,2,1,1,2,1,2,1,2.564185,0.0002562214,192.9794,1,1,1,1,1,1,0,172.5199,0,132.889,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:46:53 PM",2.567658,255.3784,2,2,1,261.6637,8.868431,410.587,2.473072,2,1,1,2,1,2,1,2.564185,0.0002562214,192.9393,1,1,1,1,1,1,0,172.5199,0,133.1966,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:46:54 PM",2.547161,255.4962,2,2,1,261.6637,8.868431,411.4842,2.473072,2,1,1,2,1,2,1,2.564185,0.0002562214,193.3399,1,1,1,1,1,1,0,172.5199,0,133.3504,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:46:55 PM",2.532108,255.5747,2,2,1,261.6637,8.868431,412.1251,2.473457,2,1,1,2,1,2,1,2.564185,0.0002562214,193.9006,1,1,1,1,1,1,0,172.5199,0,133.1582,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:46:56 PM",2.51161,255.8887,2,2,1,261.6637,8.868431,412.8941,2.473457,2,1,1,2,1,2,1,2.564185,0.0002562214,194.3011,1,1,1,1,1,1,0,172.5199,0,133.0813,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:46:57 PM",2.495916,255.9672,2,2,1,261.6637,8.870674,413.4068,2.474226,2,1,1,2,1,2,1,2.564185,0.0002562214,194.5415,1,1,1,1,1,1,0,172.5199,0,133.0428,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:46:58 PM",2.481824,255.771,2,2,1,261.6637,8.871956,414.2784,2.476276,2,1,1,2,1,2,1,2.564185,0.0002562214,195.703,1,1,1,1,1,1,0,172.5199,0,132.8506,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:46:59 PM",2.474778,255.5747,2,2,1,261.6637,8.871956,414.6116,2.476404,2,1,1,2,1,2,1,2.564185,0.0002562214,196.2638,1,1,1,1,1,1,0,172.5199,0,133.0428,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:00 PM",2.459085,255.9672,2,2,1,261.6637,8.871956,415.2012,2.476404,2,1,1,2,1,2,1,2.564185,0.0002562214,197.3052,1,1,1,1,1,1,0,172.4686,0,133.1582,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:01 PM",2.448836,256.0065,2,2,1,261.6637,8.871956,415.6114,2.476404,2,1,1,2,1,2,1,2.564185,0.0002562214,197.5455,1,1,1,1,1,1,0,172.4686,0,133.0428,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:02 PM",2.437946,255.928,2,2,1,261.6637,8.871956,416.0984,2.47602,2,1,1,2,1,2,1,2.564185,0.0002562214,198.3065,1,1,1,1,1,1,0,172.4686,0,133.0428,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:03 PM",2.436025,255.8102,2,2,1,261.6637,8.871956,416.3291,2.47602,2,1,1,2,1,2,1,2.564185,0.0002562214,199.2678,1,1,1,1,1,1,0,172.4686,0,132.7737,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:04 PM",2.436025,255.4962,2,2,1,261.6637,8.871956,416.5342,2.47602,2,1,1,2,1,2,1,2.564185,0.0002562214,200.0689,1,1,1,1,1,1,0,172.4686,0,132.6967,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:05 PM",2.478301,255.1822,2,2,1,261.6637,8.871956,417.1751,2.476404,2,1,1,2,1,2,1,2.564185,0.0002562214,200.7899,1,1,1,1,1,1,0,172.4686,0,132.6967,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:06 PM",2.52282,254.9859,2,2,1,261.6637,8.871956,417.8929,2.476917,2,1,1,2,1,2,1,2.564185,0.0002562214,201.5509,1,1,1,1,1,1,0,172.4686,0,132.5045,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:07 PM",2.563495,254.9467,2,2,1,261.6637,8.871956,418.4055,2.476917,2,1,1,2,1,2,1,2.564185,0.0002562214,202.1517,1,1,1,1,1,1,0,172.4686,0,132.3891,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:08 PM",2.600006,254.3579,2,2,1,261.6637,8.871956,419.072,2.476917,2,1,1,2,1,2,1,2.564185,0.0002562214,202.1517,1,1,1,1,1,1,0,172.4686,0,132.3122,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:09 PM",2.626909,254.3579,2,2,1,261.6637,8.871956,419.7129,2.476917,2,1,1,2,1,2,1,2.564185,0.0002562214,202.0315,1,1,1,1,1,1,0,172.4686,0,132.5045,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:10 PM",2.642923,253.9261,2,2,1,261.6637,8.871956,420.8408,2.476917,2,1,1,2,1,2,1,2.564185,0.0002562214,202.2318,1,1,1,1,1,1,0,172.4686,0,132.4276,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:11 PM",2.654453,254.2401,2,2,1,261.6637,8.871956,422.0969,2.476917,2,1,1,2,1,2,1,2.564185,0.0002562214,202.9528,1,1,1,1,1,1,0,172.4686,0,132.466,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:12 PM",2.654453,254.5149,2,2,1,261.6637,8.871956,423.2505,2.474994,2,1,1,2,1,2,1,2.564185,0.0002562214,203.2332,1,1,1,1,1,1,0,172.4686,0,132.466,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,6.407587E-05,1,1,1,Normal
" 22/12/2015 4:47:13 PM",2.634596,254.5934,2,2,1,261.6637,8.871956,424.1989,2.473457,2,1,1,2,1,2,1,2.564185,0.0002562214,203.7939,1,1,1,1,1,1,0,172.4686,0,132.466,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,6.407587E-05,1,1,1,Normal
" 22/12/2015 4:47:14 PM",2.625949,255.1822,2,2,1,261.6637,8.871956,425.1987,2.475379,2,1,1,2,1,2,1,2.564185,0.0002562214,204.3947,1,1,1,1,1,1,0,172.4686,0,132.6583,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:15 PM",2.6157,255.7317,2,2,1,261.6637,8.870033,426.0959,2.477557,2,1,1,2,1,2,1,2.564185,0.0002562214,204.8353,1,1,1,1,1,1,0,172.4686,0,132.5045,1,1,1,1,1,7.420726,178.3389,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:16 PM",2.609294,256.4775,2,2,1,261.6637,8.870033,427.0443,2.47666,2,1,1,2,1,2,1,2.564185,0.0002562214,205.2358,1,1,1,1,1,1,0,172.4686,0,132.4276,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:17 PM",2.589757,256.3205,2,2,1,261.6637,8.870033,427.9159,2.474097,2,1,1,2,1,2,1,2.564185,0.0002562214,205.8367,1,1,1,1,1,1,0,172.4686,0,132.2738,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:18 PM",2.574384,256.6738,2,2,1,261.6637,8.870033,428.7875,2.474097,2,1,1,2,1,2,1,2.564185,0.0002562214,206.2372,1,1,1,1,1,1,0,172.4686,0,132.3122,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:19 PM",2.554527,256.399,2,2,1,261.6637,8.871635,429.454,2.474097,2,1,1,2,1,2,1,2.564185,0.0002562214,207.0383,1,1,1,1,1,1,0,172.4686,0,132.0046,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:20 PM",2.542036,255.9672,2,2,1,261.6637,8.871635,430.3768,2.475635,2,1,1,2,1,2,1,2.564185,0.0002562214,208.1197,1,1,1,1,1,1,0,172.5199,0,131.6586,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:21 PM",2.525702,255.8887,2,2,1,261.6957,8.871635,430.9921,2.475635,2,1,1,2,1,2,1,2.564185,0.0002562214,208.6004,1,1,1,1,1,1,0,172.5199,0,131.6586,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:22 PM",2.507446,255.4962,2,2,1,261.8239,8.871635,432.12,2.473072,2,1,1,2,1,2,1,2.564185,0.0002562214,209.6418,1,1,1,1,1,1,0,172.5711,0,131.8893,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:23 PM",2.507446,255.4962,2,2,1,261.8239,8.871635,432.12,2.473072,2,1,1,2,1,2,1,2.564185,0.0002562214,209.6418,1,1,1,1,1,1,0,172.5711,0,131.8893,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:24 PM",2.489831,255.2999,2,2,1,261.8239,8.871635,432.9403,2.471919,2,1,1,2,1,2,1,2.564185,0.0002562214,210.3227,1,1,1,1,1,1,0,172.5711,0,131.9277,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:25 PM",2.462287,255.1037,2,2,1,261.8239,8.874519,434.1451,2.471919,2,1,1,2,1,2,1,2.564185,0.0002562214,211.4442,1,1,1,1,1,1,0,172.5711,0,132.12,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:26 PM",2.445953,255.2214,2,2,1,261.8239,8.87484,434.6578,2.471919,2,1,1,2,1,2,1,2.564185,0.0002562214,212.045,1,1,1,1,1,1,0,172.7249,0,132.1969,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:27 PM",2.433462,255.3784,2,2,1,261.8239,8.87484,435.3243,2.471278,2,1,1,2,1,2,1,2.564185,0.0002562214,212.6458,1,1,1,1,1,1,0,172.7249,0,132.4276,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:28 PM",2.427057,255.2999,2,2,1,261.8239,8.87484,436.119,2.471278,2,1,1,2,1,2,1,2.564185,0.0002562214,213.3267,1,1,1,1,1,1,0,172.7249,0,132.6583,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:29 PM",2.427057,255.3392,2,2,1,261.8239,8.87484,436.7085,2.470253,2,1,1,2,1,2,1,2.564185,0.0002562214,213.8074,1,1,1,1,1,1,0,172.7249,0,132.6967,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:30 PM",2.439227,255.1429,2,2,1,261.8239,8.87484,437.4007,2.470253,2,1,1,2,1,2,1,2.564185,0.0002562214,214.248,1,1,1,1,1,1,0,172.7249,0,132.6967,1,1,1,1,1,7.420726,178.3389,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:31 PM",2.483426,255.1429,2,2,1,261.8239,8.872917,438.0672,2.470253,2,1,1,2,1,2,1,2.564185,0.0002562214,214.3681,1,1,1,1,1,1,0,172.7249,0,132.7737,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:32 PM",2.535631,254.7504,2,2,1,261.8239,8.872917,438.5542,2.470253,2,1,1,2,1,2,1,2.564185,0.0002562214,214.6485,1,1,1,1,1,1,0,172.7249,0,132.466,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:33 PM",2.573103,254.4364,2,2,1,262.0802,8.872917,439.2976,2.470253,2,1,1,2,1,2,1,2.564185,0.0002562214,214.9689,1,1,1,1,1,1,0,172.7249,0,132.2738,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:34 PM",2.614099,254.3971,2,2,1,262.0802,8.872917,439.9641,2.472816,2,1,1,2,1,2,1,2.564185,0.0002562214,215.2092,1,1,1,1,1,1,0,172.7249,0,131.8508,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:35 PM",2.63844,254.3186,2,2,1,262.0802,8.872917,440.7844,2.472816,2,1,1,2,1,2,1,2.564185,0.0002562214,215.77,1,1,1,1,1,1,0,172.7249,0,131.6586,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:36 PM",2.66246,254.3971,2,2,1,262.0802,8.872917,441.2458,2.472816,2,1,1,2,1,2,1,2.564185,0.0002562214,216.531,1,1,1,1,1,1,0,172.7249,0,131.4278,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:37 PM",2.664382,254.1616,2,2,1,261.888,8.872917,442.143,2.472303,2,1,1,2,1,2,1,2.564185,0.0002562214,217.4122,1,1,1,1,1,1,0,172.7249,0,131.5047,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0003203793,1,1,1,Normal
" 22/12/2015 4:47:38 PM",2.655735,254.3971,2,2,1,261.888,8.872917,442.4763,2.472303,2,1,1,2,1,2,1,2.564185,0.0002562214,217.6125,1,1,1,1,1,1,0,172.7249,0,131.5047,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:47:39 PM",2.62755,254.3971,2,2,1,261.888,8.872917,443.0403,2.471791,2,1,1,2,1,2,1,2.564185,0.0002562214,218.4536,1,1,1,1,1,1,0,172.7249,0,131.5432,1,1,1,1,1,7.420726,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:47:40 PM",2.609615,255.1037,2,2,1,261.888,8.872917,443.8605,2.471791,2,1,1,2,1,2,1,2.564185,0.0002562214,219.6152,1,1,1,1,1,1,0,172.7249,0,131.6201,1,1,1,1,1,7.420085,178.5696,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:47:41 PM",2.606732,254.9467,2,2,1,261.888,8.872917,444.5527,2.470509,2,1,1,2,1,2,1,2.564185,0.0002562214,220.1359,1,1,1,1,1,1,0,172.7249,0,131.4663,1,1,1,1,1,7.420085,178.5696,260.8626,123.5068,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:47:42 PM",2.593921,255.1037,2,2,1,261.888,8.872917,445.0397,2.469228,2,1,1,2,1,2,1,2.564185,0.0002562214,220.977,1,1,1,1,1,1,0,172.7249,0,131.6586,1,1,1,1,1,7.420085,178.4671,260.8626,123.3145,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:47:43 PM",2.576946,255.4177,2,2,1,261.888,8.872917,445.8344,2.469228,2,1,1,2,1,2,1,2.564185,0.0002562214,221.2173,1,1,1,1,1,1,0,172.7249,0,131.6586,1,1,1,1,1,7.420085,178.4671,260.8626,123.3145,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:47:44 PM",2.55773,255.1822,2,2,1,261.888,8.872917,446.5778,2.473072,2,1,1,2,1,2,1,2.564185,0.0002562214,222.6593,1,1,1,1,1,1,0,172.7249,0,131.5047,1,1,1,1,1,7.420085,178.4671,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
" 22/12/2015 4:47:45 PM",2.545559,254.7897,2,2,1,261.888,8.872917,446.7572,2.473072,2,1,1,2,1,2,1,2.564185,0.0002562214,223.0598,1,1,1,1,1,1,0,172.7249,0,131.6201,1,1,1,1,1,7.420085,178.4671,260.8626,123.6221,0.001538067,0.001408992,0.001664373,0,1,1,10.34991,0,4.614202,0.0001281517,1,1,1,Normal
